"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 05","775","11","Democratic","6"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 01 Precinct 05","775","11","Democratic","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 05","775","11","Democratic","0"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 01 Precinct 05","775","11","Democratic","57"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 01 Precinct 05","775","11","Democratic","17"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 01 Precinct 32","768","11","Democratic","120"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 32","768","11","Democratic","0"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 01 Precinct 32","768","11","Democratic","37"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 32","768","11","Democratic","11"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 01 Precinct 32","768","11","Democratic","5"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 12","771","11","Democratic","1"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 02 Precinct 12","771","11","Democratic","58"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 02 Precinct 12","771","11","Democratic","66"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 12","771","11","Democratic","9"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 02 Precinct 12","771","11","Democratic","4"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 35","1026","11","Democratic","0"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 02 Precinct 35","1026","11","Democratic","118"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 02 Precinct 35","1026","11","Democratic","64"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 35","1026","11","Democratic","14"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 02 Precinct 35","1026","11","Democratic","6"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 03","818","11","Democratic","45"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 03","818","11","Democratic","1"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 03","818","11","Democratic","79"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 03","818","11","Democratic","16"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 03","818","11","Democratic","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 13","861","11","Democratic","0"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 13","861","11","Democratic","125"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 13","861","11","Democratic","99"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 13","861","11","Democratic","12"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 13","861","11","Democratic","8"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 22","1058","11","Democratic","1"
"105","16","CITY OF CHICAGO","535","KINA COLLINS","310","7TH CONGRESS","Ward 03 Precinct 22","1058","11","Democratic","146"
"105","16","CITY OF CHICAGO","540","DANNY K. DAVIS","310","7TH CONGRESS","Ward 03 Precinct 22","1058","11","Democratic","86"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 22","1058","11","Democratic","10"
"105","16","CITY OF CHICAGO","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","Ward 03 Precinct 22","1058","11","Democratic","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 32","1369","11","Democratic","0"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900022","752","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900022","752","12","Republican","4"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900025","1170","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900025","1170","12","Republican","13"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900028","1200","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900028","1200","12","Republican","81"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900057","864","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900057","864","12","Republican","47"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900061","964","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900061","964","12","Republican","14"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900064","931","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900064","931","12","Republican","9"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900091","837","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900091","837","12","Republican","24"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900094","719","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900094","719","12","Republican","5"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900097","1326","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900097","1326","12","Republican","116"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900101","959","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900101","959","12","Republican","46"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","9100004","1108","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","9100004","1108","12","Republican","48"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","9100008","1307","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","9100008","1307","12","Republican","69"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500003","1348","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500003","1348","12","Republican","45"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500006","1419","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500006","1419","12","Republican","27"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500010","1014","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500010","1014","12","Republican","16"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500035","1372","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500035","1372","12","Republican","25"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900035","1201","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900035","1201","12","Republican","110"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900062","1073","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900062","1073","12","Republican","35"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900065","777","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900065","777","12","Republican","10"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900068","607","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900068","607","12","Republican","24"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900099","1321","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900099","1321","12","Republican","9"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900102","1278","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900102","1278","12","Republican","89"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8500004","1148","12","Republican","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8500004","1148","12","Republican","43"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 05","775","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 05","775","12","Republican","8"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 01 Precinct 32","768","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 01 Precinct 32","768","12","Republican","16"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 12","771","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 12","771","12","Republican","23"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 02 Precinct 35","1026","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 02 Precinct 35","1026","12","Republican","45"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 03","818","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 03","818","12","Republican","15"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 13","861","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 13","861","12","Republican","16"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 22","1058","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 22","1058","12","Republican","25"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 03 Precinct 32","1369","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 03 Precinct 32","1369","12","Republican","26"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 06 Precinct 24","468","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 06 Precinct 24","468","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 06 Precinct 26","565","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 06 Precinct 26","565","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 23","429","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 23","429","12","Republican","17"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 11 Precinct 36","440","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 11 Precinct 36","440","12","Republican","12"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 04","691","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 04","691","12","Republican","5"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 14","538","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 14","538","12","Republican","7"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 16 Precinct 26","497","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 16 Precinct 26","497","12","Republican","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 17 Precinct 03","696","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 17 Precinct 03","696","12","Republican","2"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 17 Precinct 14","782","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 17 Precinct 14","782","12","Republican","1"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 17 Precinct 16","812","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 17 Precinct 16","812","12","Republican","9"
"105","16","CITY OF CHICAGO","0","Over Votes","310","7TH CONGRESS","Ward 17 Precinct 28","509","12","Republican","0"
"105","16","CITY OF CHICAGO","0","Under Votes","310","7TH CONGRESS","Ward 17 Precinct 28","509","12","Republican","3"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900019","1413","11","Democratic","3"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900019","1413","11","Democratic","133"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900019","1413","11","Democratic","52"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900019","1413","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900019","1413","11","Democratic","2"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900047","1122","11","Democratic","6"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900047","1122","11","Democratic","102"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900047","1122","11","Democratic","30"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900047","1122","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900047","1122","11","Democratic","4"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900050","1498","11","Democratic","2"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900050","1498","11","Democratic","116"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900050","1498","11","Democratic","95"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900050","1498","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900050","1498","11","Democratic","2"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900053","1160","11","Democratic","3"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900053","1160","11","Democratic","85"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900053","1160","11","Democratic","28"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900053","1160","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900053","1160","11","Democratic","4"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900059","806","11","Democratic","2"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900059","806","11","Democratic","91"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900059","806","11","Democratic","43"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900059","806","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900059","806","11","Democratic","5"
"16","0","COOK","545","DENARVIS C. MENDENHALL","310","7TH CONGRESS","8900082","1319","11","Democratic","2"
"16","0","COOK","540","DANNY K. DAVIS","310","7TH CONGRESS","8900082","1319","11","Democratic","195"
"16","0","COOK","535","KINA COLLINS","310","7TH CONGRESS","8900082","1319","11","Democratic","58"
"16","0","COOK","0","Over Votes","310","7TH CONGRESS","8900082","1319","11","Democratic","0"
"16","0","COOK","0","Under Votes","310","7TH CONGRESS","8900082","1319","11","Democratic","4"
